Table 1.2 - Count Of Births Of New Enterprises For 2016 To 2021 Standard Industrial Classification (SIC2007) Group,,,,,,
This worksheet contains one table,,,,,,
Units: Counts (control rounded to base 5),,,,,,
Sector,2016,2017,2018,2019,2020,2021
    683 : Real estate activities on a fee or contract basis,"4,735","4,480","4,275","3,310","3,440","5,415"
69 : Legal and accounting activities,"8,345","7,925","7,305","6,610","5,430","5,565"
    691 : Legal activities,"2,900","2,840","2,580","2,375","1,960","2,055"
"    692 : Accounting, bookkeeping and auditing activities; tax consultancy","5,445","5,085","4,725","4,235","3,470","3,510"
70 : Activities of head offices; management consultancy activities,"33,645","27,450","26,945","25,760","20,775","20,460"
    701 : Activities of head offices,"1,110","1,120","1,210","1,115","1,105","1,395"
    702 : Management consultancy activities,"32,535","26,330","25,735","24,645","19,670","19,065"
71 : Architectural and engineering activities; technical testing and analysis,"14,350","11,435","11,225","10,440","7,780","7,435"
    711 : Architectural and engineering activities and related technical consultancy,"13,505","10,910","10,635","9,930","7,390","7,085"
    712 : Technical testing and analysis,845,525,590,510,390,350
72 : Scientific research and development,940,750,725,710,760,785
    721 : Research and experimental development on natural sciences and engineering,875,690,660,620,675,695
    722 : Research and experimental development on social sciences and humanities,65,60,65,90,85,90
73 : Advertising and market research,"3,230","2,880","2,865","2,860","2,790","3,065"
    731 : Advertising,"2,830","2,560","2,570","2,625","2,600","2,825"
    732 : Market research and public opinion polling,400,320,295,235,190,240
"74 : Other professional, scientific and technical activities","22,150","12,200","11,115","15,255","13,340","10,075"
    741 : Specialised design activities,"2,810","3,075","2,870","2,735","2,415","2,675"
    742 : Photographic activities,745,765,685,770,745,720
    743 : Translation and interpretation activities,235,210,215,175,160,215
"    749 : Other professional, scientific and technical activities n.e.c.","18,360","8,150","7,345","11,575","10,020","6,465"
75 : Veterinary activities,440,525,515,670,400,340
    750 : Veterinary activities,440,525,515,670,400,340
77 : Rental and leasing activities,"2,080","1,870","1,810","1,755","1,855","2,000"
    771 : Renting and leasing of motor vehicles,655,600,640,540,595,625
    772 : Renting and leasing of personal and household goods,320,280,230,290,280,325
"    773 : Renting and leasing of other machinery, equipment and tangible goods",920,865,800,775,840,915
"    774 : Leasing of intellectual property and similar products, except copyrighted works",185,125,140,150,140,135
78 : Employment activities,"5,210","7,665","6,860","5,295","4,170","4,855"
    781 : Activities of employment placement agencies,"3,495","5,305","4,895","3,325","2,325","3,190"
    782 : Temporary employment agency activities,"1,470","1,710","1,515","1,345","1,125","1,225"
    783 : Other human resources provision,245,650,450,625,720,440
"79 : Travel agency, tour operator and other reservation service and related activities","1,165","1,090","1,150","1,090",935,945
    791 : Travel agency and tour operator activities,860,830,870,815,720,735
    799 : Other reservation service and related activities,305,260,280,275,215,210
80 : Security and investigation activities,"1,640","1,485","1,540","1,580","1,570","1,665"
    801 : Private security activities,"1,175",995,"1,055",925,"1,015","1,155"
    802 : Security systems service activities,320,385,380,480,470,455
    803 : Investigation activities,145,105,105,175,85,55
81 : Services to buildings and landscape activities,"5,170","6,300","5,315","4,595","4,760","7,620"
    811 : Combined facilities support activities,685,710,535,520,500,575
    812 : Cleaning activities,"2,740","3,685","3,015","2,525","2,785","4,135"
    813 : Landscape service activities,"1,745","1,905","1,765","1,550","1,475","2,910"
"82 : Office administrative, office support and other business support activities","45,380","29,145","27,240","39,480","29,500","18,655"
    821 : Office administrative and support activities,"1,090","2,840","1,760","2,810","1,760","2,835"
    822 : Activities of call centres,300,210,130,85,70,80
    823 : Organisation of conventions and trade shows,500,405,415,455,355,320
    829 : Business support service activities n.e.c.,"43,490","25,690","24,935","36,130","27,315","15,420"
85 : Education,"9,285","5,440","4,560","4,430","4,225","5,385"
    851 : Pre-primary education,280,355,280,360,245,235
    852 : Primary education,65,105,130,110,120,125
    853 : Secondary education,245,735,330,305,310,335
    854 : Higher education,100,75,80,95,90,95
    855 : Other education,"7,415","3,255","2,915","2,655","2,530","3,500"
    856 : Educational support activities,"1,180",915,825,905,930,"1,095"
86 : Human health activities,"10,240","7,450","5,720","6,100","5,770","6,545"
    861 : Hospital activities,930,690,455,695,635,445
    862 : Medical and dental practice activities,"4,165","3,290","2,460","2,605","2,430","2,835"
    869 : Other human health activities,"5,145","3,470","2,805","2,800","2,705","3,265"
87 : Residential care activities,"1,060",645,670,825,955,960
    871 : Residential nursing care activities,480,220,180,190,185,170
"    872 : Residential care activities for learning disabilities, mental health and substance abuse",130,80,80,180,285,145
    873 : Residential care activities for the elderly and disabled,280,135,120,200,205,170
    879 : Other residential care activities,170,210,290,255,280,475
88 : Social work activities without accommodation,"4,720","3,350","2,735","2,135","1,895","2,760"
    881 : Social work activities without accommodation for the elderly and disabled,715,805,680,385,365,665
    889 : Other social work activities without accommodation,"4,005","2,545","2,055","1,750","1,530","2,095"
"90 : Creative, arts and entertainment activities","2,695","3,325","2,905","3,025","2,590","3,120"
"    900 : Creative, arts and entertainment activities","2,695","3,325","2,905","3,025","2,590","3,120"
"91 : Libraries, archives, museums and other cultural activities",115,105,95,75,70,95
"    910 : Libraries, archives, museums and other cultural activities",115,105,95,75,70,95
92 : Gambling and betting activities,75,80,60,50,35,40
    920 : Gambling and betting activities,75,80,60,50,35,40
93 : Sports activities and amusement and recreation activities,"3,550","4,375","4,430","4,290","3,695","4,715"
    931 : Sports activities,"2,695","3,440","3,495","3,425","2,995","3,890"
    932 : Amusement and recreation activities,855,935,935,865,700,825
94 : Activities of membership organisations,"1,490","1,325","1,350","1,065","1,105","1,215"
"    941 : Activities of business, employers and professional membership organisations",340,315,325,365,290,320
    942 : Activities of trade unions,15,20,25,5,10,20
    949 : Activities of other membership organisations,"1,135",990,"1,000",695,805,875
95 : Repair of computers and personal and household goods,"1,235","1,235","1,340",680,690,"1,315"
    951 : Repair of computers and communication equipment,825,860,960,280,275,785
    952 : Repair of personal and household goods,410,375,380,400,415,530
96 : Other personal service activities,"7,205","7,645","7,830","6,755","6,195","8,945"
    960 : Other personal service activities,"7,205","7,645","7,830","6,755","6,195","8,945"
Total,"397,540","356,895","348,630","363,825","333,015","363,995"
